,Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,SOS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,SOS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
0,2017-11-10,97,68,Duke,Elon,1,248.0,-7.62,232,-3.7,-6.89,-1.69,100.54,109.48,73.3,76.2,68.0,.504,.550,14.9,.442,.540,12.7,3.0,+28.86,3,19.8,24.44,9.71,123.93,88.60,84.4,69.6,70.6,.363,.586,14.7,.368,.493,14.8
1,2017-11-10,98,66,Michigan State,North Florida,1,282.0,-10.65,304,-7.9,-11.40,-1.74,102.54,116.67,80.8,87.1,75.6,.459,.573,17.0,.286,.550,11.9,6.0,+25.41,6,17.8,22.41,7.10,121.35,88.55,80.2,64.9,68.1,.363,.601,16.4,.355,.470,12.6
2,2017-11-10,101,67,Arizona,Northern Arizona,1,327.0,-16.02,343,-14.0,-14.66,-1.03,90.23,109.36,65.6,78.5,70.7,.334,.499,19.1,.423,.586,16.8,28.0,+17.70,26,11.9,15.67,6.84,119.31,96.27,80.5,71.7,68.6,.321,.598,15.3,.356,.534,14.7
3,2017-11-10,92,56,Kansas,Tennessee State,1,198.0,-3.27,223,-3.3,-5.34,-2.98,94.66,100.65,66.6,67.0,67.0,.422,.538,19.2,.479,.545,20.4,9.0,+23.49,7,16.5,21.39,11.87,122.39,91.96,81.4,71.9,70.2,.412,.594,14.6,.391,.519,15.6
4,2017-11-10,73,63,Kentucky,Utah Valley,1,92.0,+7.78,92,5.4,5.08,-1.76,108.95,100.42,78.1,67.9,70.1,.361,.587,17.3,.352,.500,15.4,17.0,+20.44,19,12.9,17.24,10.73,116.16,91.12,76.8,70.2,69.8,.258,.555,15.8,.426,.502,14.4
5,2017-11-10,75,60,Villanova,Columbia,1,231.0,-6.01,198,-1.9,-5.64,-3.02,104.34,111.20,76.4,77.2,71.0,.435,.549,15.2,.445,.564,16.1,1.0,+33.76,1,22.8,26.64,10.24,127.92,89.79,86.6,70.2,70.1,.475,.623,13.3,.357,.519,15.9
6,2017-11-10,109,57,Wichita State,Missouri-Kansas City,1,276.0,-10.32,308,-8.1,-10.19,-1.02,94.72,107.10,70.3,76.5,72.4,.455,.520,16.0,.348,.552,17.8,21.0,+19.03,15,14.2,16.58,5.46,119.96,96.32,82.8,71.6,70.0,.392,.583,14.1,.404,.531,14.6
7,2017-11-10,86,69,North Carolina,Northern Iowa,1,122.0,+4.51,131,2.1,4.01,3.87,102.56,95.96,64.3,62.2,64.3,.399,.522,15.6,.382,.513,15.5,8.0,+23.59,8,16.1,20.08,11.78,119.93,91.40,81.6,73.3,71.7,.351,.551,14.0,.409,.525,14.4
8,2017-11-10,84,42,Southern California,Cal State Fullerton,1,162.0,+0.62,186,-0.7,-0.92,-1.02,100.50,100.77,72.4,70.2,69.9,.291,.559,18.0,.341,.518,16.0,51.0,+14.06,51,8.9,12.82,6.29,114.82,95.98,77.7,71.2,68.7,.362,.564,13.4,.393,.536,16.8
9,2017-11-10,88,65,West Virginia,Texas A&M,0,29.0,+16.96,32,10.8,15.30,10.62,111.39,89.51,75.2,70.5,70.9,.330,.538,16.3,.376,.499,13.3,12.0,+22.44,9,15.8,19.88,9.36,119.29,91.07,80.1,69.6,70.5,.384,.543,13.3,.386,.542,20.5
10,2017-11-10,107,77,Cincinnati,Savannah State,1,,,,,,,,,,,,,,,,,,4.0,+26.60,5,18.5,20.25,3.53,113.38,82.87,74.3,57.5,66.1,.353,.543,14.1,.378,.465,18.8
11,2017-11-10,77,45,Miami (FL),Gardner-Webb,1,261.0,-8.52,237,-4.2,-9.68,-3.79,94.20,105.95,70.6,72.1,69.1,.365,.538,17.2,.409,.538,15.9,37.0,+15.43,35,10.6,12.83,6.96,111.55,92.38,73.8,67.9,67.8,.360,.551,14.6,.356,.521,16.5
12,2017-11-10,92,77,Minnesota,USC Upstate,1,,,,,,,,,,,,,,,,,,117.0,+5.08,103,3.9,7.01,6.91,108.85,98.84,75.2,75.1,70.2,.320,.523,13.3,.357,.532,13.9
13,2017-11-10,101,49,Xavier,Morehead State,1,273.0,-9.96,287,-7.0,-10.65,-1.91,95.47,109.28,70.4,76.0,70.6,.381,.528,19.1,.405,.569,17.4,15.0,+21.51,13,14.7,19.08,9.45,121.03,94.08,84.4,74.7,72.3,.358,.601,15.2,.411,.532,14.0
14,2017-11-10,97,69,Gonzaga,Texas Southern,1,243.0,-6.65,229,-3.6,-7.53,-5.53,101.48,110.91,77.4,79.4,72.7,.370,.548,15.1,.329,.537,13.8,10.0,+23.03,10,15.4,18.43,2.59,118.31,91.42,83.5,67.7,69.7,.394,.593,13.9,.357,.505,15.5
15,2017-11-10,79,75,Northwestern,Loyola (MD),1,323.0,-14.58,293,-7.4,-12.72,-5.25,92.82,109.85,69.5,75.0,69.7,.280,.511,16.4,.366,.572,16.9,85.0,+8.57,74,6.8,9.63,8.37,109.91,95.53,68.8,66.5,65.3,.397,.532,15.3,.381,.542,17.0
16,2017-11-10,105,74,Purdue,SIU-Edwardsville,1,,,,,,,,,,,,,,,,,,5.0,+26.27,4,19.0,23.41,8.74,123.33,89.60,80.4,65.7,68.1,.401,.606,14.0,.344,.496,15.5
17,2017-11-10,63,60,UCLA,Georgia Tech,1,119.0,+4.90,124,2.7,5.25,7.47,104.15,95.69,65.7,67.9,66.5,.277,.509,16.6,.334,.527,16.4,56.0,+13.52,56,8.1,12.07,6.86,115.52,97.74,81.2,76.0,71.4,.404,.569,14.5,.394,.522,12.8
18,2017-11-10,90,68,Seton Hall,Fairleigh Dickinson,1,274.0,-10.16,251,-5.0,-10.42,-5.66,98.33,111.64,74.6,75.8,71.8,.334,.540,16.6,.381,.545,17.3,26.0,+18.04,27,11.7,15.67,10.11,116.65,94.04,79.4,73.9,71.1,.330,.558,15.2,.377,.535,15.5
19,2017-11-10,107,66,Baylor,Central Arkansas,1,213.0,-4.41,217,-2.9,-5.83,-5.97,101.91,109.26,80.5,79.0,74.3,.372,.557,15.9,.321,.536,16.5,34.0,+16.02,38,10.4,14.59,9.17,112.30,91.36,75.6,69.7,68.5,.303,.556,16.7,.384,.514,14.8
20,2017-11-10,96,68,Mississippi State,Alabama State,1,339.0,-19.86,339,-13.2,-18.55,-8.62,90.28,114.92,68.7,78.6,70.5,.347,.496,16.9,.352,.556,15.5,54.0,+13.61,58,8.0,11.71,6.82,110.26,93.02,73.4,67.8,68.4,.373,.550,16.4,.382,.510,16.9
21,2017-11-10,99,59,Louisiana State,Alcorn State,1,336.0,-19.43,337,-12.3,-18.07,-8.60,90.87,115.24,70.1,74.6,70.4,.382,.532,17.9,.410,.541,16.0,66.0,+11.62,67,7.2,10.93,8.03,116.12,99.70,77.5,74.6,69.4,.402,.575,14.7,.408,.555,16.9
22,2017-11-10,83,45,Kansas State,American,1,328.0,-16.14,327,-10.1,-14.63,-6.17,91.73,112.06,65.4,73.8,67.3,.439,.531,18.3,.325,.582,17.8,42.0,+14.77,47,9.2,12.84,8.74,110.73,91.61,71.1,67.0,66.6,.368,.560,15.3,.399,.533,18.6
23,2017-11-10,82,70,Hawaii,Arkansas-Pine Bluff,1,329.0,-16.45,331,-10.4,-14.84,-9.36,89.57,110.46,65.9,71.4,68.4,.354,.528,18.6,.360,.537,18.6,200.0,-3.38,228,-3.5,-2.32,-2.50,98.15,100.55,70.1,69.0,68.9,.376,.540,17.1,.365,.542,18.1
24,2017-11-10,77,63,Evansville,Arkansas State,1,281.0,-10.56,266,-6.0,-9.65,-3.02,100.89,113.23,74.0,78.8,70.4,.364,.536,15.9,.347,.585,16.8,134.0,+2.85,164,0.1,0.69,1.35,97.26,94.95,65.4,63.9,65.7,.271,.543,18.3,.429,.523,18.3
25,2017-11-10,77,74,Hofstra,Army,1,264.0,-8.69,225,-3.4,-8.62,-7.17,96.74,107.96,74.3,74.1,71.7,.418,.542,16.4,.409,.552,17.5,157.0,+0.99,147,1.2,-0.53,-1.60,108.11,107.53,79.5,77.3,70.3,.371,.562,13.2,.357,.568,14.6
26,2017-11-10,73,54,Vanderbilt,Austin Peay,1,189.0,-2.09,197,-1.8,-3.28,-2.49,101.61,105.15,73.9,71.9,70.1,.294,.532,16.8,.363,.565,20.2,91.0,+7.93,89,5.8,8.52,10.14,114.69,101.76,72.4,74.0,66.5,.461,.557,15.4,.311,.559,13.0
27,2017-11-10,78,77,Dayton,Ball State,1,173.0,-0.08,179,-0.3,-1.22,-1.99,101.10,101.74,75.3,73.8,71.1,.384,.548,16.1,.362,.524,14.6,172.0,+0.02,163,0.2,1.64,2.70,108.36,105.40,72.4,73.5,67.0,.440,.583,18.1,.390,.570,16.3
28,2017-11-10,86,82,Washington,Belmont,1,83.0,+9.15,79,6.5,5.54,-2.88,111.35,101.96,77.6,69.2,68.5,.542,.610,16.3,.350,.521,14.8,98.0,+7.09,109,3.6,7.65,6.06,106.89,95.16,74.6,73.0,70.7,.338,.550,16.4,.355,.538,18.2
29,2017-11-10,78,69,Drexel,Bowling Green State,0,232.0,-6.04,242,-4.5,-6.38,-2.88,98.85,106.77,75.9,77.8,71.9,.352,.526,15.0,.364,.556,15.3,251.0,-7.73,250,-5.0,-7.20,-2.48,99.56,108.62,74.4,78.5,70.1,.351,.533,15.1,.327,.550,13.7
30,2017-11-10,79,54,Georgia,Bryant,1,344.0,-22.06,340,-13.3,-18.75,-5.43,94.11,119.07,70.0,83.3,71.0,.401,.509,15.9,.407,.598,15.4,65.0,+11.64,77,6.7,10.24,8.87,106.59,91.63,68.1,66.7,65.3,.346,.517,16.2,.376,.493,12.5
31,2017-11-10,79,78,Monmouth,Bucknell,1,97.0,+7.31,81,6.4,4.48,-3.46,107.31,100.39,81.1,73.1,72.4,.392,.576,15.1,.317,.514,15.0,183.0,-1.21,172,-0.2,-2.41,-1.24,100.92,103.00,75.4,76.5,71.0,.334,.562,18.5,.457,.549,16.0
32,2017-11-10,78,62,Stanford,Cal Poly,1,325.0,-14.98,326,-9.8,-11.55,-1.83,95.59,111.54,67.2,74.3,66.6,.411,.509,15.2,.332,.556,14.3,87.0,+8.37,96,4.5,8.08,7.14,107.48,95.32,75.9,74.9,72.2,.315,.552,17.9,.361,.523,13.9
33,2017-11-10,65,54,South Dakota State,UC-Irvine,1,147.0,+2.11,149,1.1,-0.21,-0.33,97.98,96.99,69.7,67.1,68.5,.319,.521,17.2,.348,.492,13.3,78.0,+10.20,87,5.9,6.84,-0.38,111.87,101.55,84.5,74.3,72.3,.432,.590,12.3,.391,.520,12.9
34,2017-11-10,74,66,University of California,UC-Riverside,0,268.0,-9.17,283,-6.9,-8.50,-1.53,91.29,102.17,65.3,69.8,69.8,.336,.493,17.2,.398,.517,17.1,244.0,-7.27,268,-6.1,-3.40,6.06,97.63,101.46,67.7,77.6,70.6,.275,.486,17.4,.391,.582,17.2
35,2017-11-10,86,75,Penn State,Campbell,1,218.0,-5.01,194,-1.6,-5.68,-6.68,103.26,109.59,75.9,70.9,68.6,.432,.593,15.6,.359,.540,16.0,19.0,+19.18,20,12.6,15.85,7.79,114.07,90.16,74.7,66.7,67.9,.331,.553,15.0,.336,.517,17.2
36,2017-11-10,85,84,Hartford,Central Connecticut,1,,,,,,,,,,,,,,,,,,215.0,-4.89,224,-3.4,-5.54,-5.26,99.98,106.34,70.5,70.2,67.7,.426,.551,16.0,.410,.535,15.8
37,2017-11-10,110,62,Davidson,Charleston Southern,1,246.0,-7.43,216,-2.8,-8.15,-6.15,96.24,106.73,72.0,68.8,67.5,.352,.539,16.5,.451,.559,20.2,43.0,+14.70,33,10.7,11.02,2.57,118.15,100.16,76.3,67.9,65.3,.484,.602,13.1,.417,.538,14.5
38,2017-11-10,74,65,Wyoming,Chattanooga,1,304.0,-12.53,285,-6.9,-11.09,-4.05,95.28,109.69,69.4,73.5,67.4,.430,.545,18.0,.345,.569,16.8,118.0,+4.99,150,1.1,4.26,3.54,104.07,97.31,79.8,78.7,74.7,.450,.564,16.1,.346,.546,16.9
39,2017-11-10,95,62,Iowa,Chicago State,1,346.0,-22.59,348,-16.5,-21.53,1.17,90.60,118.46,67.8,86.1,74.0,.289,.494,18.0,.389,.603,16.6,88.0,+8.14,90,5.8,8.13,7.13,116.37,104.36,79.7,78.7,71.0,.340,.570,16.0,.366,.556,13.5
40,2017-11-10,70,58,Connecticut,Colgate,1,202.0,-3.72,187,-0.9,-4.86,-5.73,102.41,108.35,72.5,70.2,67.5,.451,.554,14.4,.400,.556,17.1,179.0,-0.43,173,-0.2,1.08,6.05,103.78,101.44,68.2,73.1,67.1,.360,.516,16.0,.426,.543,15.7
41,2017-11-10,70,54,Oregon,Coppin State,1,347.0,-23.97,345,-15.6,-20.97,-7.25,81.33,109.71,60.8,74.5,69.1,.476,.472,18.3,.386,.533,15.3,75.0,+10.24,72,6.9,10.70,4.84,111.67,96.31,78.3,72.4,69.6,.421,.568,14.9,.394,.547,16.8
42,2017-11-10,77,45,Syracuse,Cornell,1,265.0,-8.90,261,-5.8,-8.80,-3.24,101.18,112.31,75.9,80.4,70.7,.396,.563,16.6,.371,.554,13.6,41.0,+14.82,45,9.4,12.89,10.02,107.08,87.58,66.6,63.8,64.2,.328,.518,16.2,.445,.502,16.6
43,2017-11-10,76,63,Richmond,Delaware,0,247.0,-7.57,258,-5.5,-6.93,-2.96,99.62,108.55,70.8,73.6,67.0,.311,.533,13.9,.388,.556,13.4,181.0,-0.78,181,-0.4,-0.17,3.61,106.71,105.74,71.8,75.6,68.3,.363,.550,15.2,.352,.583,16.9
44,2017-11-10,111,79,Virginia Tech,Detroit,1,,,,,,,,,,,,,,,,,,33.0,+16.03,30,11.2,14.35,6.72,116.67,95.92,79.8,72.2,69.9,.399,.602,15.3,.428,.532,16.2
45,2017-11-10,81,63,Northern Kentucky,East Tennessee State,1,93.0,+7.49,88,5.9,3.72,-4.09,103.01,95.91,75.2,65.9,69.7,.363,.564,16.7,.406,.504,18.4,90.0,+7.93,75,6.7,4.83,-4.07,105.42,97.10,77.7,66.0,70.7,.400,.572,15.5,.360,.500,17.6
46,2017-11-10,73,72,Rice,Eastern Kentucky,0,286.0,-10.96,290,-7.2,-10.57,-3.68,97.93,112.00,71.9,76.5,69.8,.359,.540,16.3,.363,.566,16.4,289.0,-11.09,318,-8.9,-8.63,-0.04,96.41,107.61,68.2,75.7,70.1,.467,.514,18.3,.420,.548,14.7
47,2017-11-10,67,51,Grand Canyon,Florida A&M,1,341.0,-21.21,341,-13.5,-19.22,-8.34,90.40,116.04,68.9,78.9,69.5,.311,.513,17.1,.344,.566,16.2,121.0,+4.53,115,3.2,3.76,-4.81,100.79,94.46,73.9,65.1,70.3,.391,.531,16.0,.304,.491,18.5
48,2017-11-10,60,59,South Florida,Florida Atlantic,1,233.0,-6.10,235,-4.0,-5.36,-0.14,93.69,100.46,69.5,70.1,70.9,.286,.493,15.3,.320,.516,15.7,279.0,-10.45,289,-7.1,-7.27,0.05,96.16,105.98,63.3,70.6,65.5,.339,.518,18.7,.365,.539,14.2
49,2017-11-10,85,83,Wake Forest,Georgia Southern,0,152.0,+1.65,127,2.5,-0.54,-3.28,102.87,102.46,75.9,70.2,70.5,.394,.529,13.6,.396,.519,17.9,89.0,+7.94,93,5.3,7.76,8.79,111.29,98.99,73.3,74.4,69.9,.353,.540,16.2,.401,.555,15.5
50,2017-11-10,94,65,Virginia Commonwealth,Grambling,1,295.0,-11.71,312,-8.3,-12.97,-10.30,89.61,106.58,72.8,74.9,73.8,.254,.509,17.7,.361,.530,17.5,144.0,+2.28,125,2.6,3.55,2.42,106.84,100.77,76.0,74.8,71.4,.386,.549,16.3,.369,.544,15.8
51,2017-11-10,90,75,Rider,Hampton,1,250.0,-7.68,253,-5.2,-8.85,-9.57,92.40,104.49,79.5,76.6,75.0,.289,.537,14.9,.361,.513,14.7,145.0,+2.28,138,1.6,0.98,-2.62,106.63,104.86,81.9,78.3,74.8,.338,.545,15.0,.431,.560,18.1
52,2017-11-10,69,64,Sacred Heart,Holy Cross,0,290.0,-11.36,262,-5.8,-9.93,-5.83,94.89,108.92,63.6,67.7,63.7,.397,.551,17.6,.445,.547,17.2,305.0,-12.57,303,-7.9,-11.38,-6.98,93.02,108.18,68.7,72.2,69.5,.329,.512,18.1,.398,.536,13.5
53,2017-11-10,84,55,Providence,Houston Baptist,1,333.0,-17.64,328,-10.2,-16.14,-3.96,94.99,114.96,76.8,84.4,75.5,.329,.497,15.5,.363,.589,17.0,63.0,+12.17,62,7.7,11.12,10.23,108.90,92.55,73.6,72.7,69.5,.329,.534,15.1,.363,.538,16.6
